title,categoryName,price,totalScore,reviewsCount,deskripsi_gabungan
Canting Londo Kitchen,Restoran,harga standar,4.8,4201.0,canting londo kitchen restoran harga standar
Selat Solo Tenda Biru - Dr. Wahidin,Restoran Jawa,harga standar,4.6,9045.0,selat solo tenda biru - dr. wahidin restoran jawa harga standar
Kuliner Solo | Nasi Kebuli Mbah Soleh Ngru-Q,Restoran Timur Tengah,harga standar,4.6,2471.0,kuliner solo | nasi kebuli mbah soleh ngru-q restoran timur tengah harga standar
Pecel Solo Resto,Restoran Jawa,harga standar,4.3,2076.0,pecel solo resto restoran jawa harga standar
Djampi Jawi Solo,Restoran,harga standar,4.8,2379.0,djampi jawi solo restoran harga standar
Adem Ayem Resto Slamet Riyadi,Restoran Indonesia,harga standar,4.5,12658.0,adem ayem resto slamet riyadi restoran indonesia harga standar
Kuliner Solo | LITTLE INDIA nya S0L0 | Nasgor Rempah Mbah Soleh,Restoran India,harga standar,4.7,1544.0,kuliner solo | little india nya s0l0 | nasgor rempah mbah soleh restoran india harga standar
Selat Vien's Pusat,Restoran Jawa Tengah,harga standar,4.5,12174.0,selat vien's pusat restoran jawa tengah harga standar
Ledre Laweyan,Tujuan Wisata,harga standar,4.7,339.0,ledre laweyan tujuan wisata harga standar
Tahu Kupat Pak Gombloh,Restoran Tahu,harga standar,4.6,3185.0,tahu kupat pak gombloh restoran tahu harga standar
Kuliner Bu Wiwik,Restoran,harga standar,5.0,14.0,kuliner bu wiwik restoran harga standar
Galabo Kuliner Malam Solo,Pujasera,harga standar,4.3,3216.0,galabo kuliner malam solo pujasera harga standar
Istana kuliner solo,Restoran,harga standar,5.0,10.0,istana kuliner solo restoran harga standar
Warung Selat Mbak Lies,Restoran Jawa Tengah,harga standar,4.4,8397.0,warung selat mbak lies restoran jawa tengah harga standar
Selat Kuni,Restoran Indonesia,harga standar,4.7,176.0,selat kuni restoran indonesia harga standar
Soto Seger Hj.Fatimah Restaurant,Restoran soto,harga standar,4.6,10519.0,soto seger hj.fatimah restaurant restoran soto harga standar
Srabi Notosuman Pajang,Restoran,harga standar,4.7,95.0,srabi notosuman pajang restoran harga standar
Warung Gongso Pusat,Restoran,harga standar,4.5,1682.0,warung gongso pusat restoran harga standar
Baron House Resto,Restoran,$$,4.6,819.0,baron house resto restoran $$
Warung Makan Mie Thoprak dan Dhawet Gempol Pleret Mangkuyudan,Restoran,$,4.5,1101.0,warung makan mie thoprak dan dhawet gempol pleret mangkuyudan restoran $
Cokro Pusat Jajanan Khas Solo,Toko Makanan,$$,4.6,602.0,cokro pusat jajanan khas solo toko makanan $$
Timlo Sastro 2,Restoran Indonesia,harga standar,4.3,2504.0,timlo sastro 2 restoran indonesia harga standar
Warung Lesehan Nasi Liwet Mbak Yanti Purwosari,Restoran Jawa,$,4.5,376.0,warung lesehan nasi liwet mbak yanti purwosari restoran jawa $
"Pusat Oleh-Oleh ""MAKUTHO SOLO""",Pusat Perbelanjaan,harga standar,4.7,1312.0,"pusat oleh-oleh ""makutho solo"" pusat perbelanjaan harga standar"
